dt,match_id,res,odd,probability of winning,stake 
10/22/2024 17:00,1,r,1.82,59,
10/22/2024 17:45,2,w,1.82,59,
10/22/2024 17:45,3,w,1.82,59,
10/22/2024 18:00,4,r,1.82,59,
10/22/2024 18:00,5,w,1.82,59,
10/22/2024 19:45,6,w,1.82,59,
10/22/2024 19:45,7,l,1.82,59,
10/22/2024 19:45,8,w,1.82,59,
10/22/2024 19:45,9,w,1.82,59,
10/22/2024 20:00,10,l,1.82,59,
10/22/2024 20:00,11,L,1.82,59,
10/22/2024 20:00,12,l,1.82,59,
10/22/2024 20:00,13,w,1.82,59,
10/22/2024 20:00,14,w,1.82,59,
10/22/2024 20:00,15,w,1.82,59,
10/22/2024 23:30,16,w,1.82,59,
10/23/2024 0:30,17,r,1.82,59,
10/23/2024 1:30,18,l,1.82,59,
10/23/2024 1:30,19,r,1.82,59,
10/23/2024 1:30,20,l,1.82,59,
10/23/2024 11:00,21,w,1.82,59,
10/23/2024 13:00,22,l,1.82,59,
10/23/2024 15:30,23,l,1.82,59,
10/23/2024 15:30,24,l,1.82,59,
10/23/2024 17:45,25,w,1.82,59,
10/23/2024 17:45,26,w,1.82,59,
10/23/2024 18:00,27,w,1.82,59,
10/23/2024 19:45,28,r,1.82,59,
10/23/2024 19:45,29,r,1.82,59,
10/23/2024 19:45,30,r,1.82,59,
10/23/2024 19:45,31,w,1.82,59,
10/23/2024 20:00,32,w,1.82,59,
10/23/2024 20:00,33,l,1.82,59,
10/23/2024 20:00,34,L,1.82,59,
10/23/2024 20:00,35,L,1.82,59,
10/23/2024 20:00,36,L,1.82,59,
10/23/2024 20:00,37,l,1.82,59,
10/23/2024 20:00,38,w,1.82,59,
10/23/2024 20:00,39,w,1.82,59,
10/23/2024 23:00,40,l,1.82,59,
10/23/2024 23:00,41,l,1.82,59,
10/24/2024,42,w,1.82,59,
10/24/2024,43,w,1.82,59,
10/24/2024,44,w.5,1.82,59,
10/24/2024,45,l,1.82,59,
10/24/2024,46,l,1.82,59,
10/24/2024,47,l,1.82,59,
10/24/2024,48,l,1.82,59,
10/24/2024,49,r,1.82,59,
10/24/2024,50,w,1.82,59,
10/24/2024,51,w,1.82,59,
10/24/2024,52,w,1.82,59,
10/24/2024,53,w,1.82,59,
10/24/2024,54,w,1.82,59,
10/24/2024,55,w,1.82,59,
10/24/2024,56,l,1.82,59,
10/24/2024,57,l,1.82,59,
10/24/2024,58,l,1.82,59,
10/24/2024,59,r,1.82,59,
10/24/2024,60,w,1.82,59,
10/24/2024,61,w,1.82,59,
10/24/2024,62,w,1.82,59,
10/24/2024,63,w,1.82,59,
10/24/2024,64,w,1.82,59,
10/24/2024,65,w,1.82,59,
10/24/2024,66,w,1.82,59,
10/24/2024,67,w,1.82,59,
10/24/2024,68,w,1.82,59,
10/25/2024 17:30,69,l,1.82,59,
10/25/2024 17:30,70,w,1.82,59,
10/25/2024 18:00,71,w,1.82,59,
10/25/2024 19:00,72,w,1.82,59,
10/25/2024 19:00,73,l,1.82,59,
10/25/2024 19:00,74,w,1.82,59,
10/25/2024 19:00,75,w,1.82,59,
10/25/2024 19:00,76,l,1.82,59,
10/25/2024 19:45,77,r,1.82,59,
10/25/2024 19:45,78,l,1.82,59,
10/25/2024 20:00,79,w,1.82,59,
10/26/2024 1:30,80,w,1.82,59,
10/26/2024 13:00,81,w,1.82,59,
10/26/2024 13:00,82,l,1.82,59,
10/26/2024 13:00,83,w.5,1.82,59,
10/26/2024 13:00,84,w,1.82,59,
10/26/2024 14:00,85,l,1.82,59,
10/26/2024 14:00,86,w,1.82,59,
10/26/2024 14:00,87,l,1.82,59,
10/26/2024 14:30,88,l,1.82,59,
10/26/2024 14:30,89,r,1.82,59,
10/26/2024 14:30,90,w,1.82,59,
10/26/2024 17:00,91,w,1.82,59,
10/26/2024 17:15,92,l,1.82,59,
10/26/2024 17:30,93,r,1.82,59,
10/26/2024 17:30,94,l,1.82,59,
10/26/2024 17:30,95,w,1.82,59,
10/26/2024 17:45,96,l,1.82,59,
10/26/2024 18:00,97,w,1.82,59,
10/26/2024 18:00,98,w,1.82,59,
10/26/2024 19:00,99,w,1.82,59,
10/26/2024 19:30,100,l,1.82,59,
10/26/2024 19:45,101,w,1.82,59,
10/26/2024 20:30,102,l,1.82,59,
10/26/2024 20:30,103,l,1.82,59,
10/26/2024 20:30,104,w,1.82,59,
10/26/2024 20:30,105,w,1.82,59,
10/26/2024 20:30,106,l,1.82,59,
10/26/2024 22:30,107,l,1.82,59,
10/27/2024 4:00,108,w,1.82,59,
10/27/2024 6:00,109,r,1.82,59,
10/27/2024 6:00,110,r,1.82,59,
10/27/2024 6:00,111,w,1.82,59,
10/27/2024 8:30,112,l,1.82,59,
10/27/2024 8:30,113,l,1.82,59,
10/27/2024 8:30,114,w,1.82,59,
10/27/2024 8:30,115,w,1.82,59,
10/27/2024 8:30,116,w.5,1.82,59,
10/27/2024 8:30,117,l,1.82,59,
10/27/2024 11:30,118,l,1.82,59,
10/27/2024 12:15,119,w,1.82,59,
10/27/2024 12:15,120,r,1.82,59,
10/27/2024 13:30,121,l,1.82,59,
10/27/2024 13:30,122,l,1.82,59,
10/27/2024 13:30,123,l,1.82,59,
10/27/2024 13:30,124,w,1.82,59,
10/27/2024 14:00,125,w,1.82,59,
10/27/2024 14:00,126,l,1.82,59,
10/27/2024 14:00,127,w,1.82,59,
10/27/2024 14:00,128,w,1.82,59,
10/27/2024 14:30,129,w,1.82,59,
10/27/2024 15:00,130,l,1.82,59,
10/27/2024 15:00,131,w.5,1.82,59,
10/27/2024 15:00,132,w,1.82,59,
10/27/2024 15:30,133,w,1.82,59,
10/27/2024 16:00,134,w,1.82,59,
10/27/2024 16:00,135,w,1.82,59,
10/27/2024 16:15,136,l,1.82,59,
10/27/2024 16:15,137,l,1.82,59,
10/27/2024 16:15,138,w,1.82,59,
10/27/2024 16:30,139,l,1.82,59,
10/27/2024 16:30,140,w,1.82,59,
10/27/2024 16:45,141,w,1.82,59,
10/27/2024 17:00,142,w,1.82,59,
10/27/2024 17:00,143,w,1.82,59,
10/27/2024 17:00,144,w,1.82,59,
10/27/2024 17:00,145,w,1.82,59,
10/27/2024 17:30,146,r,1.82,59,
